record_id	builder	marketed_identity	model_or_product	country	period	builder_confidence	status	evidence_summary	source_1	source_2
BUILDER-071	Claybridge Sound Systems	Claybridge	Fuzz Box / pre-Fuzzmaster	Australia	1966	HIGH	RESEARCH_VALIDATED	Contemporary advertising and later specimen research identify an early Claybridge fuzz box predating the named Fuzzmaster. The surviving pre-Fuzzmaster example matches the early company-name sticker and two-control configuration described in period ads.	https://www.tonemachinesblog.com/2024/03/claybridge-pre-fuzzmaster.html	https://www.tonemachinesblog.com/2023/01/in-search-of-the-australian-fuzzmaster-part.html
BUILDER-072	Claybridge Sound Systems	Claybridge	Fuzzmaster / Fuzzmaster Wildcat / Fuzzmaster MKIV	Australia	1966-late 1960s	HIGH	RESEARCH_VALIDATED	Claybridge was an early Australian PA/amplifier builder that produced a documented Fuzzmaster line. Surviving research distinguishes the original Fuzzmaster, Wildcat and MKIV states; exact chronology between some states remains a research question.	https://www.tonemachinesblog.com/2023/01/in-search-of-the-australian-fuzzmaster.html	https://www.tonemachinesblog.com/2023/03/
BUILDER-073	Fi-Sonic	Fi-Sonic	Fuzz Blender / Fuzz Blender MKIV	Australia	1965-1960s	MEDIUM	RESEARCH_ONLY	Fi-Sonic, associated with Philip Dreoni, produced at least two dirt products in the 1960s. Newspaper advertisements establish a Fuzz product by September/December 1965; surviving hardware includes a distinct Fuzz Blender amp-top unit and a later Fuzz Blender MKIV pedal, while the relationship between these states remains unresolved.	https://www.tonemachinesblog.com/2024/07/fi-sonic-fuzz-blender-other-australian.html	https://ozvalveamps.org/fisonic.htm
BUILDER-074	Pearl Musical Instrument Co.	Pearl	CF-1 Cry Fuzz	Japan	1970s	HIGH	RESEARCH_VALIDATED	Pearl Musical Instrument Co. produced the CF-1 Cry Fuzz as an early Japanese fuzz-wah product. Pearl is retained as the builder/product identity rather than assigning an OEM factory without evidence.	https://tcgakki.com/products/cf-1-cry-fuzz	https://www.tonemachinesblog.com/2026/06/
BUILDER-075	Pearl Musical Instrument Co.	Pearl	Sound Spice DS-06 Distortion	Japan	1970s-1980s	MEDIUM	RESEARCH_ONLY	Pearl's later Sound Spice catalog includes DS-06 Distortion. The model is retained as a catalog lead pending stronger period documentation and factory attribution.	https://wahwah.fandom.com/wiki/Pearl	https://tcgakki.com/products/cf-1-cry-fuzz
BUILDER-076	Pearl Musical Instrument Co.	Pearl	Sound Spice OD-05 Overdrive	Japan	1970s-1980s	MEDIUM	RESEARCH_ONLY	Pearl's later Sound Spice range includes OD-05 Overdrive. Builder identity is clear enough for discovery, while exact production corridor and OEM relationships remain to be reconciled.	https://wahwah.fandom.com/wiki/Pearl	https://tcgakki.com/products/cf-1-cry-fuzz
BUILDER-077	VEB Musikelektronik Klingenthal	Böhm / VEB Musikelektronik	Trickverzerrer / Verzerrer	East Germany	1960s-1970s	MEDIUM	RESEARCH_ONLY	The East German Trickverzerrer, also described as Böhm Trickverzerrer or simply Verzerrer, is attributed to VEB Musikelektronik in Klingenthal. The surviving evidence is sparse, so factory identity and chronology remain cautious.	https://www.rockboard.de/en/pedalPedia/VEB-Elektronik-Klingenthal/Trickverzerrer/397709173/	https://www.freestompboxes.org/viewtopic.php?t=16868
BUILDER-078	Caldironi Musica	Cosmosound / G.I.S. / Goldsound / Gun / Meazzi and related labels	Distortion Whau-Whau	Italy	Late 1960s-early 1970s	HIGH	RESEARCH_VALIDATED	Caldironi Musica in Milan is identified by specialist sources as the physical maker behind a family of Italian fuzz-wah products marketed under multiple names including G.I.S., Goldsound, Cosmosound, Gun and Meazzi. The archive treats Caldironi as the physical manufacturer and the retail names as relationship nodes.	https://www.effectsdatabase.com/model/gis/distortionwhauwhau	https://www.tonehome.de/goldsound/
BUILDER-079	Caldironi Musica	Goldsound / Cosmosound / Silversound	Distortion Whau-Whau Repeat	Italy	1972-1973	HIGH	RESEARCH_VALIDATED	ToneHome identifies the Goldsound Distortion Whau-Whau Repeat as a 1972/73 Caldironi Musica product also sold as Silversound SE/40 and Cosmosound Distortion Whau-Whau Repeat. This is a useful multi-brand single-manufacturer census entry.	https://www.tonehome.de/goldsound/	https://www.tonehome.de/cosmosound/
BUILDER-080	JEN Elettronica	Ricken's	FR III Fuzz	Italy	Late 1970s	HIGH	RESEARCH_VALIDATED	Ricken's FR III is documented as made by JEN in Pescara, Italy, in the late 1970s. It is retained as a marketed identity under the JEN physical-manufacturer node.	https://www.tonehome.de/jen/ricken-s-fuzz-fr-iii/	https://www.effectsdatabase.com/model/rickens/fr3
