name	entity_type	region	era_bucket	dirt_evidence	research_status	priority	source_refs	notes
One Control	Builder / brand	Japan	2010-present	Anodized Brown Distortion; Baby Blue OD; Baltic Blue Fuzz; Cranberry OD; Golden Acorn; Honey Bee OD; Persian Green Screamer; Purple Plexifier; Rebel Red Distortion; Rocket Grey Fuzz; Silver Bee OD	CANONICAL_BASELINE	P0	https://www.effectsdatabase.com/model/onecontrol	Timeline says pedal making began 11 Mar 2010; first sale was Mosquite Blender in Sep 2010; BJF collaboration begins with BJF Buffer in Jan 2012. Keep BJF as designer relationship, not separate One Control manufacturer.
Dreadbox	Builder	Greece	2010s-present	Disorder; Buzz; Jellyfish and later dirt/hybrid products	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/dreadbox ; https://www.effectsdatabase.com/model/dreadbox/disorder	Athens synth/effects builder. Disorder is a documented analog fuzz/filter product with distinct V1/V2 states. Broader Dreadbox catalog requires full catalog audit before completion.
EC Pedals / EC Custom Shop	Builder	Israel	2010-present	Angry Ape; Muff's Head; Michael Benson FuzzDriver; Orphaned Drive; Overlord; Overlord Bass Overdrive; Primestortion; Rusty Cooley Overdrive; Zombie Distortion	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/ecpedals	Eldar Cohen. Company started late 2010 with five-pedal line including two distortions, a bass fuzz and an overdrive. Later signature models remain distinct relationships.
Erafuzz	Builder	USA (Arizona)	2010-2012+	Buzzaround; Grand Dragon; Italian V; Civil War; Revolution; Sacred Resonance; Octavo Stone; LeBasse; RAM	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/erafuzz	Rex Thornton. Exceptionally clean dated timeline from prototype through first products. Strong historical target because the builder chronology is explicit.
Analog Alien	Builder	USA (New York)	2009-present	FuzzBubble-45; Alien Twister; Tone Dragon and later gain products	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/analogalien ; https://www.effectsdatabase.com/interviews/brands/analogalien	Jack and Joe Napoli. FuzzBubble-45 prototype Dec 2009, public release Sep 2010; Alien Twister released Apr 2012. Built in-house, professionally fabricated boards/enclosures, hand wiring.
Fromel Electronics	Builder	USA (Washington)	2008-present	D.I.G.; Death Is Gain; Phuz Ge; Phuz Si; Velvet Vice	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/fromel	John Fromel. First pedal 2008; company expanded from home workshop into retail/manufacturing location in 2010. Indexed catalog includes OD, distortion and two fuzz families.
Ben Adrian Audio	Builder	USA (California)	2008-2011	Bunny Drive; Fuzzy Bunny; Kowloon Walled Bunny	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/benadrian ; https://www.effectsdatabase.com/model/benadrian/kwb	Ben Adrian. First pedal under his own name in 2008; KWB developed 2009; commercial production halted after Line 6 employment in 2011. Preserve as a short-lived but well-documented builder.
RogerThat	Builder	Netherlands	2009-present	Distortion DX; Distortion; Distortion Deluxe; Fuzz; Overdrive; Bass OD/DIS	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/rogerthat	Rogier van Oudheusden. Started late 2009, company founded Jan 2010, first pedal line early 2011 with Distortion DX. Repairs/custom work preceded standardized products.
Moody Sounds	Builder	Sweden	2009-present	Zeygot Fuzz; Hjärt Müller Bass Drive	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/moodysounds	Albin Roslund / Dennis Cederstrand lineage. First Moody Mushroom pedal Mar 2009; international assembled-pedal retail from Jun 2009; Zeygot Fuzz and bass drive belong in dirt census, but exact product dates need further work.
JMK Pedals	Builder	Canada (Saskatchewan)	2006-present	Custom Drive; Neutron Drive	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/jmk	Jacob Kokura. Modified first pedal 2006; first pedal sale 2009; released pedal line and website in 2011; PCB business followed in 2012. Small builder with unusually explicit transition chronology.
JerroStomp	Micro-builder	USA (New York)	2012-2016	Fuzzy Sunday; Hot Fudge Sundae; Fuzzo; Salamander; Fuzz Mace; Uppity Pup	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/jerrostomp	Jerry Ernst. Began kits/breadboarding Jan 2012; Fuzzy Sunday market-ready Jun 2012; Hot Fudge and Fuzzo followed from modifications in 2013; business stopped in 2016. Tiny-run history should be preserved.
Purdy Tube Amps-FX	Builder	Canada (Alberta)	2012+	Fuzz; Distortion; Overdrive	DISCOVERED_BASELINE	P2	https://www.effectsdatabase.com/model/purdy ; https://www.effectsdatabase.com/model/purdy/fuzz	Edmonton builder. Effects Database identifies Fuzz as first pedal and indexes a 12-product catalog including dedicated OD and distortion. Founding chronology remains to be established.
