flag_id	builder	model_or_product	variation_status	variation_type	flag_note	deep_research_priority	source_refs
VAR-059	Jordan Electronics	Boss Tone / Model 1000	CONFIRMED_VARIATION	generation / circuit / enclosure	Effects Database separates at least v1 Alhambra, v2 Pasadena and v3 Nashville/Sho-Sound states. 1966 advertising now pushes the earliest documented appearance back before the commonly cited 1967 date.	P0	https://www.effectsdatabase.com/model/jordan/bosstone; https://www.tonemachinesblog.com/2025/02/earliest-jordan-boss-tone-advertisement.html
VAR-060	Roger Mayer Effects	Octavia	CONFIRMED_VARIATION	generation / enclosure / switching / ownership	Early hand-built Hendrix-era units, late-1970s/early-1980s U.S. rocket production, later British production, Classic/Vision and Voodoo TC states should be modeled as separate production or edition states, not duplicate products.	P0	https://www.roger-mayer.co.uk/history.htm; https://www.vintageguitar.com/3292/roger-mayer/; https://www.guitarplayer.com/gear/classic-gear-roger-mayers-octavia-pedal
VAR-061	Roger Mayer Effects	Voodoo family / Voodoo TC	CONFIRMED_VARIATION	family / enclosure / control-layout	The later compact Voodoo TC line contains multiple named models and should be treated as an edition/product-format family over existing Roger Mayer lineages rather than additional builders.	P1	https://www.effectsdatabase.com/model/rogermayer/voodootc
VAR-062	Arion	MDI-1 Tube Mania / Monarch	PROBABLE_VARIATION	branding / OEM	Arion MDI-1 has a documented Monarch-branded relationship. Track marketed identity separately until factory attribution is resolved.	P1	https://www.effectsdatabase.com/model/arion/mds1
VAR-063	Arion	SDI-1 Stereo Distortion / Sakura	PROBABLE_VARIATION	branding / OEM	Effects Database documents a Sakura relationship for SDI-1. Treat as marketed/OEM evidence, not an automatic second builder.	P1	https://www.effectsdatabase.com/model/arion
VAR-064	Arion	Japanese vs Sri Lankan production	PROBABLE_VARIATION	production corridor / factory	Effects Database states early Arion was made in Japan by Prince Tsushinkogyo and later in Sri Lanka by Ueno Kaihatsu Center Ltd. Individual dirt models need production-corridor mapping later.	P0	https://www.effectsdatabase.com/model/arion
VAR-065	Pearl Musical Instrument Co.	CF-1 Cry Fuzz / Sound Spice gain catalog	CONFIRMED_RELATIONSHIP	catalog expansion	Pearl's early CF-1 and later OD-05/DS-06 belong to distinct product eras inside the same Pearl identity; do not split Pearl into duplicate builders.	P1	https://tcgakki.com/products/cf-1-cry-fuzz; https://www.effectsdatabase.com/model/pearl/soundspice
VAR-066	Firstman / Hillwood	Multivox Big Jam SE-8 and related Big Jam	CONFIRMED_RELATIONSHIP	OEM identity	Firstman/Hillwood is the manufacturer lineage while Multivox/Nihon-Hammond is the marketed/distribution corridor; these are not duplicate builder records.	P0	https://www.effectsdatabase.com/model/multivox/bigjam/se8; https://www.juggbox.blog.jp/archives/cat_217624.html
VAR-067	Caldironi Musica	Distortion Whau-Whau family	CONFIRMED_RELATIONSHIP	rebrand / OEM corridor	G.I.S., Goldsound, Cosmosound, Meazzi and related labels appear across the same Caldironi Musica family in surviving documentation; naming changes must not create duplicate pedals or factories.	P0	https://www.effectsdatabase.com/model/gis/distortionwhauwhau; https://www.tonehome.de/goldsound/
VAR-068	VEB Musikelektronik Klingenthal	Trickverzerrer / Verzerrer / Böhm	CONFIRMED_VARIATION	specimen branding	Sources distinguish Böhm-branded examples from units labeled VEB Musikelektronik and simply Verzerrer. This is a branding/specimen state inside one East German lineage, not evidence of separate builders.	P1	https://www.rockboard.de/en/pedalPedia/VEB-Elektronik-Klingenthal/Trickverzerrer/397709173/; https://www.freestompboxes.org/viewtopic.php?t=16868
VAR-069	Arion	Arion gain catalog	PROBABLE_VARIATION	production origin	Arion's historical record separates early Japanese manufacture from later Sri Lankan production. Exact model-by-model cutover dates remain unresolved and should not be invented.	P0	https://www.effectsdatabase.com/model/arion; https://arion-ukc.co.jp/english/effects/lineup/
VAR-070	Pearl Musical Instrument Co.	OD-05 / DS-06 Sound Spice	CONFIRMED_VARIATION	period / product family	The Sound Spice series is a defined Pearl product family and contemporary documentation places DS-06 in the expanded later effects catalog. Avoid conflating this family with the earlier CF-1 generation.	P1	https://www.effectsdatabase.com/model/pearl/soundspice; https://worldradiohistory.com/UK/Elecctronics-Music-Maker/Electronics-%26-Music-Maker-1983-05-S-OCR.pdf
