record_id	brand	model_name	variant_or_state	period	kind	differences	evidence_status	source_url	note
REC-111	J.H. Experience	FY-2 Fuzz Box	1970s OEM-branded state	1970s	OEM / branding	Effects Database identifies J.H. Experience as a 1970s OEM edition of the Shin-ei Companion FY-2.	RESEARCH	https://www.effectsdatabase.com/model/jhexperience/fy2	Treat branding evidence as stronger than unverified factory-chain claims.
REC-112	Kimbara	FY-2 Fuzz Box	OEM-branded state	1970s	OEM / branding	Kimbara is cataloged as an FY-2 branded state alongside other Japanese OEM identities.	RESEARCH	https://www.effectsdatabase.com/model/kimbara/fy2	Exact importer/manufacturer relationship remains open.
REC-113	Suzuki	FY-2 Fuzz	Mexico-sold branded specimen	1970s	OEM / market history	Effects Database documents a Suzuki-branded FY-2 sold in Mexico during the 1970s and describes the pictured example as Japanese Shin-ei lineage.	RESEARCH	https://www.effectsdatabase.com/model/suzuki/fy2	Useful regional specimen evidence; do not generalize from one example.
REC-114	Zenta	FY-2 Fuzz Box	OEM-branded state	Late 1960s-1970s	OEM / branding	Effects Database catalogs Zenta as an OEM-branded Shin-ei Companion FY-2 state.	RESEARCH	https://www.effectsdatabase.com/model/zenta/fy2	Keep as a separate retail identity under the FY-2 family.
REC-115	Companion	FY-2 Fuzz Box	Germanium specimen evidence	1968-1970s	Generation / technology	Effects Database records surviving early germanium and later silicon Companion FY-2 examples in its media history.	RESEARCH	https://www.effectsdatabase.com/model/companion/fy2	Technology boundary remains specimen-level, not a universal production cutoff.
REC-116	DOD	FX50 Overdrive Preamp	Early FX-series state	1982-1985	Model / lineage	Specialist historical records place the two-knob FX50 after the original gray-box 250 era and before the FX50B, with a short production window in the early 1980s.	RESEARCH	https://www.americaspedals.net/fx50b.html	Use as a transitional model; exact surviving catalog dates need additional primary-source scans.
REC-117	DOD	FX50B Overdrive Plus	First series	1986-1987	Generation / variant	FX50B was introduced in early 1986; the first documented state used three controls before the later boost-related revision.	RESEARCH	https://www.americaspedals.net/fx50b.html	External identifiers and manuals are preferred over internal construction details.
REC-118	DOD	FX50B Overdrive Plus	Boost revision	1987-1990s	Generation / variant	Historical documentation reports a circuit revision around 1987 where the end of the Drive range also increased output boost.	RESEARCH	https://www.americaspedals.net/fx50b.html	Record as an external/functional generation marker; avoid schematic publication.
REC-119	Ibanez	TS9 Tube Screamer	Original 9-series state	1982-1985	Model / chronology	Analog Man documents the original TS9 era at roughly 1982-1985 and notes the larger footswitch and revised output section relative to TS808.	RESEARCH	https://www.analogman.com/tshist.htm	Date ranges are approximate and should be refined with dated specimens.
REC-120	Ibanez	TS10 Tube Screamer Classic	Power Series state	1986-1989	Generation / production	Analog Man documents the TS10 in the 10-series beginning around 1986 and ending when the 10-series concluded around 1988-1989.	RESEARCH	https://www.analogman.com/tshist.htm	Keep board-mounted control hardware as an identification note only, not a recipe.
REC-121	BOSS	SD-1 Super OverDrive	Original compact-era model	1981-present	Model / lineage	BOSS states that the SD-1 was introduced in 1981 and became a core overdrive model, building on the OD-1 asymmetric-clipping lineage.	VERIFIED	https://www.boss.info/ca/boss-50th-anniversary/	Modern continuity does not erase earlier country/component-era distinctions.
REC-122	BOSS	OD-2 Turbo OverDrive	Four-control successor	1985-1995	Model / chronology	Historical summaries place the four-knob OD-2 Turbo OverDrive from 1985 to 1995, following the OD-1 era.	RESEARCH	https://en.wikipedia.org/wiki/Boss_Corporation	Use independent catalog scans later to refine regional production states.
REC-123	ProCo	RAT 2	Flat-enclosure first state	1988-2002	Generation / enclosure	ProCo history reproduced by Griffin Effects dates RAT 2 to 1988-present and identifies the original flat small-box enclosure before the 2003 sloped conversion.	RESEARCH	https://www.griffineffects.com/files/articles/rathistory/rat2.php	External enclosure and logo changes are key specimen clues.
REC-124	ProCo	Turbo RAT	Original sloped-enclosure state	1989-present	Model / chronology	Historical records place Turbo RAT introduction in 1989 and describe it as a separate RAT variant with its own clipping character and sloped housing.	RESEARCH	https://www.samash.com/spotlight/2013/07/the-rat-distortion-a-history/	Need primary Pro Co catalogs to tighten the earliest production window.
REC-125	ROSS	Distortion	USA / Taiwan-era transition	1970s-1980s	Production / regional	Available historical evidence shows ROSS Distortion as a 1970s U.S. model and collector reports document later Taiwan-built ROSS examples by 1982.	RESEARCH	https://reverb.com/p/ross-distortion	Country state should be assigned per specimen, not one blanket date range.
