builder	model	category	light_description	photo_source	status
PSK / Kyung Nam Co	ODV-2 Over Drive	Overdrive	Korean-made vintage analog overdrive from the 1980s PSK series, part of a documented family later rebranded under RAK and Music-Son labels.	https://www.effectsdatabase.com/model/psk/2/odv2	INVENTORY
PSK / Kyung Nam Co	ODV-3 Over Drive	Overdrive	Korean-made PSK overdrive in the ODV family, preserved as a distinct historical model state alongside the ODV-2 and related rebrands.	https://www.effectsdatabase.com/model/psk/3/odv3	INVENTORY
PSK / Kyung Nam Co	ODV-5 Over Drive	Overdrive	Korean-made PSK overdrive from the later ODV family, with multiple rebranded market counterparts documented in the historical catalog.	https://www.guitarmuse.co.kr/shop/shopbrand.html?mcode=004&xcode=016	INVENTORY
PSK / Kyung Nam Co	DST-2 Distortion	Distortion	Korean-made vintage distortion from the PSK DST family, distributed under multiple brand labels including Allsound, Music-Son, RAK and MSL.	https://www.effectsdatabase.com/model/allsound/2/dst2	INVENTORY
PSK / Kyung Nam Co	DST-3 Distortion	Distortion	Korean-made higher-gain PSK distortion family product from the 1980s-1990s, with documented Allsound, RAK, MSL and Music-Son relationship states.	https://www.effectsdatabase.com/model/psk/3/dst3	INVENTORY
PSK / Kyung Nam Co	SD-1 Super OverDrive	Overdrive	Historical Korean PSK super-overdrive family product preserved through its later MSL, Music-Son and RAK-branded counterparts.	https://www.effectsdatabase.com/model/rak/sd1	INVENTORY
PSK / Kyung Nam Co	SOD-2 Super Over Drive	Overdrive	Historical Korean PSK super-overdrive family product with multiple documented market rebrands; retain manufacturer lineage separately from label identity.	https://www.effectsdatabase.com/model/psk/sod2	INVENTORY
PSK / Kyung Nam Co	SOD-3 Super Overdrive	Overdrive	Historical Korean PSK super-overdrive family product preserved as part of the same Kyung Nam manufacturing lineage.	https://www.effectsdatabase.com/model/psk/sod3	INVENTORY
PSK / Kyung Nam Co	SOD-5 Super Overdrive	Overdrive	Historical Korean PSK super-overdrive family product with documented Venson-branded counterpart and broader OEM distribution.	https://www.effectsdatabase.com/model/psk/sod5	INVENTORY
PSK / Kyung Nam Co	SMT-2 Super Metal	Distortion	Korean-made high-gain PSK metal/distortion product, preserved as a named historical dirt model within the Kyung Nam family.	https://www.effectsdatabase.com/model/psk/smt2	INVENTORY
