MOD-0471	EarthQuaker Devices	Acapulco Gold	Original	2016	Power-amp distortion	One-knob power-amp distortion built around the sound and response of a cranked Sunn Model T; EQD described it as an original power-amp distortion circuit.	VERIFIED	https://www.musicradar.com/news/guitars/namm-2016-8-new-earthquaker-devices-pedals-on-show-633361	Ship date April 2016 is explicitly documented; enclosure and single large control are strong specimen clues.
MOD-0472	EarthQuaker Devices	Bellows	Original	2016	Fuzz-drive	Two-knob transistor dirt pedal spanning amp-like grit through fuzzy saturation, presented as a back-to-basics EQD dirt design.	VERIFIED	https://www.musicradar.com/news/guitars/namm-2016-8-new-earthquaker-devices-pedals-on-show-633361	Ship date May 2016 is explicitly documented; Drive and Volume are key external clues.
MOD-0473	EarthQuaker Devices	Gray Channel	Original	2016	Dual overdrive	Two-channel hard-clipping overdrive with separate clipping selections on each side, expanding a classic gray-box hard-clipping concept.	VERIFIED	https://www.musicradar.com/news/guitars/namm-2016-8-new-earthquaker-devices-pedals-on-show-633361	Ship date March 2016; six clipping selections across two channels are major identification clues.
MOD-0474	EarthQuaker Devices	Spires	Original	2016	Fuzz	Fuzz doubler combining two distinct fuzz voices in one enclosure as part of EQD's 2016 NAMM expansion.	RESEARCH	https://www.reverb.com/news/namm-2016-rumor-roundup	NAMM 2016 announcement is strong discovery evidence; exact production start should be reconciled with builder archives later.
MOD-0475	EarthQuaker Devices	Bows	Original	2016	Germanium preamp boost	Germanium preamp/booster introduced in EQD's 2016 NAMM group, providing an alternate gain stage alongside its dirt catalog.	RESEARCH	https://www.reverb.com/news/namm-2016-rumor-roundup	Retain as a gain product rather than forcing it into fuzz or overdrive classification.
MOD-0476	Stone Deaf FX	Kliptonite	Original	2016	Fuzz + overdrive	Dual fuzz/overdrive device with Mirror Mix control that changes the balance of fuzz and overdrive channels and an expanded parametric EQ section.	VERIFIED	https://www.musicradar.com/news/guitars/namm-2016-stone-deaf-unveils-five-new-guitar-effects-pedals-633189	NAMM 2016 launch evidence explicitly documents the dual fuzz/overdrive architecture and Mirror Mix control.
MOD-0477	Stone Deaf FX	Warp Drive	Original	2016	High-gain distortion	High-gain distortion with full-range parametric EQ and an onboard noise gate, positioned as an amp-like heavy distortion.	VERIFIED	https://www.musicradar.com/news/guitars/namm-2016-stone-deaf-unveils-five-new-guitar-effects-pedals-633189	2016 NAMM documentation gives broad frequency control and noise-gate identity useful for specimen recognition.
MOD-0478	Stone Deaf FX	PDF-2	V2 successor	2016	Parametric distortion filter	Successor to PDF-1 combining parametric EQ, adjustable gain, clean/dirty channel switching and expression control.	VERIFIED	https://www.musicradar.com/news/guitars/namm-2016-stone-deaf-unveils-five-new-guitar-effects-pedals-633189	Keep PDF-2 separate from PDF-1; the dual-foot-switch and gain additions are generation clues.
MOD-0479	Walrus Audio	Contraband Fuzz	Original	2016	Silicon fuzz	One-knob silicon fuzz with a Fat/Thin switch, deliberately simple control layout and a wide saturation range.	VERIFIED	https://www.premierguitar.com/namm-2016-editors-picks-day-2	NAMM 2016 coverage explicitly identifies the one-knob layout and Fat/Thin switch.
MOD-0480	Way Huge	Green Rhino Overdrive MKIV	MKIV	2016	Overdrive	Compact MKIV Green Rhino retaining the core overdrive concept while adding dedicated 100Hz and 500Hz frequency shaping.	VERIFIED	https://www.musicradar.com/news/guitars/the-best-new-guitar-effects-pedals-of-namm-2016-633891	2016 NAMM coverage explicitly identifies the MKIV shrink and its 100Hz/500Hz controls.
MOD-0481	Way Huge	Overrated Special	Original	2016	Overdrive	Joe Bonamassa-associated overdrive with pronounced mids and dedicated 500Hz shaping in a compact enclosure.	VERIFIED	https://www.musicradar.com/news/guitars/the-best-new-guitar-effects-pedals-of-namm-2016-633891	Artist collaboration and the 500Hz control are strong identification clues.
MOD-0482	Way Huge	Swollen Pickle MKIIs	MKIIs	2016	Fuzz	Compact Swollen Pickle variant retaining the high-gain fuzz architecture while moving into the smaller format and adding scoop, crunch, voice and clip controls.	VERIFIED	https://www.musicradar.com/news/guitars/the-best-new-guitar-effects-pedals-of-namm-2016-633891	MKIIs should remain distinct from the original large-format Swollen Pickle family state.
MOD-0483	Friedman Amplification	BE-OD	Original	2016	Amp-style overdrive	High-gain overdrive designed around the Friedman BE-100/Brown Eye amplifier character with six external controls and 9-18V operation.	VERIFIED	https://www.premierguitar.com/friedman-amplification-unveils-the-be-od	Premier Guitar dated the introduction August 26, 2016; control panel and 9-18V requirement are useful specimen clues.
MOD-0484	Friedman Amplification	Fuzz Fiend	Original	2016	Tube fuzz	High-voltage tube fuzz using a 12AX7A preamp stage and expanded EQ controls, developed as part of Friedman's first pedal expansion.	RESEARCH	https://www.effectsdatabase.com/model/friedman/fuzzfiend	Effects Database places it in the 2016 Friedman field; exact commercial release chronology should be reconciled with Friedman archives.
MOD-0485	Friedman Amplification	Motor City Drive	Original	2016	Tube overdrive	High-voltage 12AX7A-driven overdrive from Friedman's early pedal program, with a broad preamp-like control set.	RESEARCH	https://www.effectsdatabase.com/model/friedman/motorcitydrive	2016-era coverage documents the product family; tube architecture is a defining external/product identifier.
MOD-0486	Supro	SP1303 Boost	Original	2016	Boost	Clean-oriented preamp/boost with filtering via a toggle and expression support for the volume control.	VERIFIED	https://www.musicradar.com/news/guitars/musikmesse-2016-supro-unveils-first-guitar-effects-pedals-636588	Supro's first pedal trio was announced in 2016; preserve exact SP1303 model numbering.
MOD-0487	Supro	SP1304 Fuzz	Original	2016	Fuzz	Supro fuzz combining NOS germanium first-stage behavior with silicon gain and a two-band EQ based on Supro amplifier tone shaping.	VERIFIED	https://www.sweetwater.com/insync/supro-fuzz/	Winter NAMM 2016 documentation establishes the model and germanium/silicon hybrid concept; later reviews confirm the production controls.
MOD-0488	Supro	SP1305 Drive	Original	2016	Overdrive	Amp-derived overdrive introduced alongside the Supro Boost and Fuzz as part of the company's first pedal line.	VERIFIED	https://www.musicradar.com/news/guitars/musikmesse-2016-supro-unveils-first-guitar-effects-pedals-636588	Exact SP1305 model number preserved; 2016 launch is builder/documented chronology.
MOD-0489	Strymon	Riverside	Original	2016	Overdrive	Hybrid analog/DSP overdrive designed as a wide-range drive platform with digitally controlled processing and extensive voicing options.	RESEARCH	https://www.reverb.com/news/the-best-selling-pedals-of-2016	Reverb's 2016 new-pedal list confirms Riverside-era release context; deeper Strymon chronology should establish exact announcement date.
MOD-0490	Keeley Electronics	Monterey Rotary Fuzz Vibe	Original	2016	Fuzz + modulation	Multi-effect fuzz, rotary/vibrato and expression-capable platform associated with Keeley's 2016 expansion into integrated effect combinations.	VERIFIED	https://www.reverb.com/news/the-best-selling-pedals-of-2016	Reverb's 2016 new-pedal sales list identifies Monterey among the year's new releases.
MOD-0491	MXR	Sub Machine Fuzz	Original	2016	Octave fuzz	Fuzz with independently blendable sub-octave and footswitchable upper octave, giving series/parallel octave combinations.	RESEARCH	https://www.tullydeconstruction.com/studio-blog/2016/8/6/x-ambassadors-rig	August 2016 artist rig interview calls Sub Machine relatively new and highlights its octave routing and versatility.
MOD-0492	Orange	Two Stroke	Original	2016	EQ + boost	Compact EQ/boost pedal from Orange's early pedal expansion, designed to push and shape an amplifier rather than provide a conventional distortion voice.	VERIFIED	https://www.effectsdatabase.com/updates/weekly/20160125	Effects Database's January 2016 NAMM-era catalog record establishes the model in the 2016 new-product stream.
MOD-0493	Ovaltone	Fountain Overdrive	Original	2016	Overdrive	Overdrive introduced in the 2016 NAMM product wave as a dedicated gain pedal in Ovaltone's boutique range.	RESEARCH	https://www.effectsdatabase.com/updates/namm/2016/1day	NAMM 2016 listing establishes discovery chronology; detailed builder lineage remains a future enrichment task.
MOD-0494	KHDK Electronics	No. 1 Overdrive	Original	2016	Overdrive	Early KHDK overdrive model appearing in the company's 2016 product launch field.	RESEARCH	https://www.effectsdatabase.com/updates/namm/2016/1week	NAMM 2016 overview provides discovery evidence and exact model naming.
MOD-0495	Mode Machines	AT1 Overdrive	Original	2016	Overdrive	Analog overdrive from Mode Machines' 2016 compact effects lineup.	RESEARCH	https://www.effectsdatabase.com/updates/namm/2016/1week	Preserve AT1 exact model designation for future family/variant reconciliation.
MOD-0496	Mode Machines	AT2 Distortion	Original	2016	Distortion	Analog distortion from Mode Machines' 2016 compact effects lineup.	RESEARCH	https://www.effectsdatabase.com/updates/namm/2016/1week	Preserve AT2 separately from AT1 because model designation indicates distinct product identity.
MOD-0497	Mode Machines	MM-3 Buzz/Fuzz	Original	2016	Fuzz	Buzz/fuzz unit from Mode Machines' 2016 compact series.	RESEARCH	https://www.effectsdatabase.com/updates/namm/2016/1week	Exact MM-3 model naming is retained for future identification work.
MOD-0498	Xvive	Sweet Leo	Original	2016	Overdrive	Compact amp-style overdrive introduced alongside Xvive's early pedal range and voiced for a shimmering high-end drive character.	RESEARCH	https://www.musicradar.com/news/guitars/the-best-new-guitar-effects-pedals-of-namm-2016-633891	NAMM 2016 coverage establishes the product's launch window and compact external format.
MOD-0499	Xvive	DynaRock	Original	2016	Distortion	Thomas Blug-associated distortion pedal designed to emulate an amplifier-style high-gain response.	RESEARCH	https://www.musicradar.com/news/guitars/the-best-new-guitar-effects-pedals-of-namm-2016-633891	Artist/designer association is a major provenance clue; preserve it separately from product identity.
MOD-0500	Gore Pedals	Filth Fuzz	Original	2016	Fuzz	Flexible fuzz designed to cover a wide range of fuzz colors with a simple external interface.	VERIFIED	https://www.premierguitar.com/gore-pedals-releases-the-cult-germanium-overdrive-filth-fuzz-and-gross-distortion	All models were documented as shipping in 2016; Filth Fuzz is retained as a distinct Gore Pedals product.
