Builder,Pedal,Type
Ceriatone,Centura Professional Overdrive,Overdrive
Ceriatone,Horse Breaker,Overdrive
Chasetone,Fuzz Fella Blue BC108C,Fuzz
Chasetone,Fuzz Fella Blue BC108C,Overdrive
Chicago Iron,Octavian,Fuzz
Cicognani Engineering,Double Decker,Overdrive
Cicognani Engineering,Speciale DD 1959,Overdrive
Cicognani Engineering,Triple Decker,Overdrive
CKK Electronic,Gambler,Overdrive
CKK Electronic,Royal Fuzz,Fuzz
CMAT Mods,Brownie,Distortion
CMAT Mods,Black Plague,Distortion
CMAT Mods,Ratified,Distortion
CMAT Mods,Signa Drive,Overdrive
CMAT Mods,Super Signa Drive,Overdrive
CMAT Mods,Butah,Overdrive
CMAT Mods,Tube Slammer,Overdrive
Coda Effects,Black Hole,Distortion
Coda Effects,Dolmen Fuzz,Fuzz
Coffee Shop Pedals,Portafilter Dual Overdrive,Overdrive
Coffee Shop Pedals,Affogato Fuzz,Fuzz
Coffee Shop Pedals,Donut Hole Overdrive,Overdrive
Collision Devices,TARS,Fuzz
Collision Devices,TARS,Distortion
Collision Devices,Snack Fuzz,Fuzz
Collision Devices,Snack Fuzz,Distortion
Collision Devices,Singularity,Fuzz
Collision Devices,Singularity,Distortion
Collision Devices,Black Hole Symmetry,Fuzz
Cornerstone Music Gear,Centurio,Overdrive
Cornerstone Music Gear,Colosseum,Overdrive
Cornerstone Music Gear,Nero,Fuzz
Cornerstone Music Gear,Nero,Overdrive
Cornerstone Music Gear,Antique V3,Overdrive
Cornerstone Music Gear,Imperium V2,Overdrive
Cornerstone Music Gear,Gladio SC,Overdrive
Crowther Audio,Hot Cake,Overdrive
Cusack Music,Carolina Reaper,Overdrive
Cusack Music,Carolina Reaper,Fuzz
Cusack Music,Screamer V2,Overdrive
Cusack Music,Screamer Fuzz V3,Overdrive
Cusack Music,Screamer Fuzz V3,Fuzz
Cusack Music,Screamer Fuzz Germanium,Overdrive
Cusack Music,Screamer Fuzz Germanium,Fuzz
Cusack Music,Screamer Bass Fuzz,Overdrive
Cusack Music,Screamer Bass Fuzz,Fuzz
