builder	model	category	light_description	photo_source	status
AnaSounds	Bitoun Fuzz	Fuzz	Boutique fuzz pedal with a saturated, responsive character and a broad range of vintage-to-modern fuzz textures.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
AnaSounds	Centaur - Vintage Overdrive	Overdrive	Vintage-inspired overdrive designed for dynamic amplifier-style breakup with a focused midrange response.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
AnaSounds	Cerberus - Overdrive	Overdrive	Analog overdrive with a flexible gain range for responsive low-to-medium drive and amplifier pushing.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
AnaSounds	Cerberus mkII - Overdrive	Overdrive	Updated Cerberus overdrive with expanded tonal flexibility and a broad range from light breakup to thicker drive.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
AnaSounds	Extended Savage	Boost / Overdrive	Expanded gain pedal combining strong boost capability with driven amplifier-style saturation.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
AnaSounds	Feed Me - Fuzz	Fuzz	High-gain fuzz built for thick saturation, sustain and expressive harmonic texture.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
AnaSounds	Feed Me mkII - Fuzz	Fuzz	Second-generation Feed Me fuzz offering dense saturation with expanded control and a refined response.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
AnaSounds	Feed Me Mk3 - Fuzz	Fuzz	Third-generation Feed Me fuzz continuing the high-gain, sustaining fuzz character with updated control and voicing.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
AnaSounds	Freq Up - Custom Boost	Treble Boost	Compact boost designed to emphasize upper frequencies and drive an amplifier or following dirt stage.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
AnaSounds	Savage & High Voltage - Limited Edition	Boost / Overdrive	Limited-edition high-voltage drive combining strong boost and saturated overdrive response.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
AnaSounds	Savage - Centaur Reissue	Overdrive	Centaur-inspired reissue overdrive with dynamic gain, prominent mids and amplifier-pushing response.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
AnaSounds	Savage MkII - Centaur Reissue	Overdrive	Updated Centaur-inspired overdrive with responsive low-to-medium gain and expanded tonal control.	https://www.effectsdatabase.com/model/anasounds	INVENTORY
Moollon	Crispian Mills signature Strange Fuzz	Fuzz	Silicon transistor fuzz with a Vintage Battery control that varies bias and output for vintage-style fuzz through thicker saturated tones.	https://www.effectsdatabase.com/model/moollon/crispianmills/strangefuzz	INVENTORY
Moollon	Distortion with Extended Headroom	Distortion	High-headroom distortion designed to preserve dynamics while delivering thick, amplifier-like saturated gain.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Moollon	Distortion+Overdrive	Overdrive / Distortion	Combined drive pedal spanning responsive overdrive and thicker distortion in a flexible gain range.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Moollon	Fuzz Thirty-Two	Fuzz	Boutique fuzz offering a thick, harmonically rich saturated character with a broad vintage-oriented response.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Moollon	SLO-101 Super Lead Overdrive	Overdrive	Amplifier-inspired overdrive voiced for strong low end, harmonic richness and singing lead gain.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Moollon	SLO-201 Super Lead Overdrive	Overdrive	Higher-powered Super Lead-style overdrive with a broad gain response and focused amplifier-like character.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Moollon	Treble Boost	Treble Boost	Focused treble booster designed to add upper-mid gain and push the front end of an amplifier.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Moollon	British Octah	Octave Fuzz	British-style octave fuzz combining saturated fuzz with pronounced upper-octave harmonics.	https://www.effectsdatabase.com/model/moollon	INVENTORY
K.S. Aji Tone Workshop	Blues Creamer - Classic Overdrive	Overdrive	Classic overdrive designed for smooth, dynamic breakup and blues-oriented amplifier push.	https://www.effectsdatabase.com/model/ksaji	INVENTORY
K.S. Aji Tone Workshop	FU-223 Fuzz	Fuzz	Boutique fuzz with a saturated, harmonically rich response and vintage-oriented character.	https://www.effectsdatabase.com/model/ksaji	INVENTORY
K.S. Aji Tone Workshop	Red Creamer	Overdrive	Compact overdrive voiced for responsive gain and focused amplifier-style breakup.	https://www.effectsdatabase.com/model/ksaji	INVENTORY
K.S. Aji Tone Workshop	Valve Creamer - Tube Overdrive	Overdrive	Tube-driven overdrive designed for warm, dynamic breakup and saturated amplifier-style gain.	https://www.effectsdatabase.com/model/ksaji	INVENTORY
K.S. Aji Tone Workshop	Violet Drive	Overdrive / Distortion	Flexible drive pedal capable of moving from low-gain overdrive into thicker saturated distortion.	https://www.effectsdatabase.com/model/ksaji	INVENTORY
GoosoniqueWorx	Boosty	Boost	Compact booster designed to raise level and add gain for pushing amplifiers and following dirt pedals.	https://www.effectsdatabase.com/model/goosonique	INVENTORY
GoosoniqueWorx	Blitzkrieg	Distortion	High-gain distortion designed for aggressive, saturated amplifier-style drive.	https://www.effectsdatabase.com/model/goosonique	INVENTORY
GoosoniqueWorx	Fudge 73	Fuzz	Triangle-era Muff-style fuzz with thick sustain and a broad, saturated response.	https://www.effectsdatabase.com/model/goosonique	INVENTORY
GoosoniqueWorx	Kult	Distortion / Overdrive	Dual-channel high-gain drive combining lower-gain overdrive with heavier saturated distortion.	https://www.effectsdatabase.com/model/goosonique	INVENTORY
GoosoniqueWorx	MangoJuice	Distortion	FET-based distortion offering articulate gain with a strong amp-pushing character.	https://www.effectsdatabase.com/model/goosonique	INVENTORY
GoosoniqueWorx	Noizetherapy	Distortion / Fuzz	Experimental high-gain dirt device combining dense distortion and fuzz-oriented textures.	https://www.effectsdatabase.com/model/goosonique	INVENTORY
GoosoniqueWorx	Pixie	Fuzz	Hybrid fuzz with a saturated, harmonically rich response and vintage-inspired character.	https://www.effectsdatabase.com/model/goosonique	INVENTORY
GoosoniqueWorx	Seventheaven	Distortion	JFET-based high-gain distortion designed for dense, aggressive saturation with amplifier-like response.	https://www.effectsdatabase.com/model/goosonique	INVENTORY
Roadrunner	Ace The Pusher	Boost	Compact boost designed to add level and gain while pushing a following amplifier or dirt stage.	https://www.effectsdatabase.com/model/roadrunner	INVENTORY
Roadrunner	Ace Treble Trick	Treble Boost	Treble-focused booster designed for concentrated upper-frequency gain and amplifier drive.	https://www.effectsdatabase.com/model/roadrunner	INVENTORY
Roadrunner	El Toro Loco	Overdrive / Distortion	Multi-mode drive combining several overdrive and distortion voices in a flexible gain platform.	https://www.effectsdatabase.com/model/roadrunner	INVENTORY
Roadrunner	Flexitone Auto Wah-Dist	Distortion / Filter	Expression-controlled distortion and filtering device combining gain with frequency-swept tonal shaping.	https://www.effectsdatabase.com/model/roadrunner	INVENTORY
Roadrunner	Supersonic Fuzz	Fuzz	Early boutique fuzz designed for saturated gain and expressive vintage-oriented fuzz textures.	https://www.effectsdatabase.com/model/roadrunner	INVENTORY
Celestial Effects	Aquarius - Fuzz	Fuzz	Fuzz pedal designed for saturated sustain and a broad, harmonically rich response.	https://www.effectsdatabase.com/model/celestial	INVENTORY
Celestial Effects	Aries - Beast Distortion	Distortion	High-gain distortion designed for aggressive saturated tones and strong rhythmic attack.	https://www.effectsdatabase.com/model/celestial	INVENTORY
Celestial Effects	Cancer - Wah The Fuzz?	Fuzz / Wah	Fuzz and wah combination offering saturated fuzz alongside foot-controlled frequency shaping.	https://www.effectsdatabase.com/model/celestial	INVENTORY
Celestial Effects	Capricorn - Rock Distortion	Distortion	Rock-oriented distortion with a broad gain range from crunchy drive into heavier saturation.	https://www.effectsdatabase.com/model/celestial	INVENTORY
Celestial Effects	Sagittarius - Overdrive Boost	Overdrive / Boost	Combined overdrive and boost designed for amplifier pushing and responsive gain.	https://www.effectsdatabase.com/model/celestial	INVENTORY
Celestial Effects	Taurus - Blues Overdrive	Overdrive	Blues-oriented overdrive designed for dynamic, amp-like breakup with a smooth gain character.	https://www.effectsdatabase.com/model/celestial	INVENTORY
Celestial Effects	Virgo - Rock Overdrive	Overdrive	Rock-oriented overdrive providing articulate low-to-medium gain and thicker driven tones.	https://www.effectsdatabase.com/model/celestial	INVENTORY
Jinx Pedals	Cheetah Drive	Overdrive	Compact drive pedal designed for responsive amplifier-style breakup and flexible gain.	https://www.effectsdatabase.com/model/jinxpedals	INVENTORY
Jinx Pedals	Dentist - Fuzz	Fuzz	Boutique fuzz with a saturated character suited to thick sustained textures.	https://www.effectsdatabase.com/model/jinxpedals	INVENTORY
Jinx Pedals	Dister - High-Gain Distortion	Distortion	High-gain distortion designed for forceful saturated guitar tones and heavier riffing.	https://www.effectsdatabase.com/model/jinxpedals	INVENTORY
Jinx Pedals	Pump Preamp	Preamp / Overdrive	Gain-oriented preamp capable of clean level lift through driven amplifier-style saturation.	https://www.effectsdatabase.com/model/jinxpedals	INVENTORY
