name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Hudson Electronics UK	Builder	UK	2000s-present	Blackbird octave fuzz; Bluebird Fuzzrite; Broadcast preamps; Full Range Bomb; Fuzz Mk IV; Gospel Bomb; Motorcycle Overdrive; Mr. Soul; Overdrive 999; Overdrive Eight Fifty; Sidecar; Soul Bomb; Stroll On; White Heat	DISCOVERED	https://www.effectsdatabase.com/model/hudson ; https://www.effectsdatabase.com/model/hudson/motorcycle	Michael Hudson, Beverley UK. Effects Database indexes 22 products and describes hand-built fuzz/overdrive work. High-priority Queue B catalog target.
Kurosawa Musical Instruments	Brand / probable manufacturer lineage	Japan	1970s-1980s	The Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/unknown/japan/thefuzz	Rare Japanese fuzz attributed to Kurosawa Gakki. Exact physical manufacturer remains uncertain, so preserve as a brand/manufacturing-attribution node rather than asserting a factory identity.
J&H	Micro-builder	USA	2010s	Hella Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/jnh/hellafuzz	Effects Database records 49 units built between 2015-2017. Extremely small historical run, exactly the type of micro-builder the census should preserve.
Systech	Historical builder	USA	1970s	Overdrive	DISCOVERED	https://www.effectsdatabase.com/model/systech/overdrive ; https://www.effectsdatabase.com/model/systech	Systems & Technology in Music, Inc. of Kalamazoo. Effects Database identifies a mid-1970s Overdrive and a broader effects catalog; lineage includes Greg Hochman, Charlie Wicks and the Sound Factory.
Bob Burt Cabinets & Pedals	Builder	USA	2000s-2010s	Overdrive; AH-1 distortion; GR8T Distortion; Clean Boost	DISCOVERED	https://www.effectsdatabase.com/model/bobburt ; https://www.effectsdatabase.com/model/bobburt/ah1	Bob Burt hand-built cabinets and pedals in Milton, Florida. Effects Database documents a 2000 start, 2007 Overdrive prototype and later distortion/boost products.
PedalWorX	Builder	USA	2000s-2010s	Bender-Over-Under; Dirty Angel; HellBilly Hybrid Fuzz; McFuzz; McFuzz Hot; Neo-Drive; New York Over Driver; Octabooty; SRV-808; Tejas; Texas Two Step; ZZT-808	DISCOVERED	https://www.effectsdatabase.com/model/pedalworx ; https://www.effectsdatabase.com/model/pedalworx/texastwostep	Partnership between Bob McBroom and George Blekas, founded 2000. Effects Database indexes 21 products, many in the dirt category.
DB Design	Micro-builder	USA?	2000s	Lemon Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/dbdesign/lemonfuzz	Effects Database documents a completely hand-built germanium fuzz. Geography and broader company identity need follow-up.
SynthRestore	Builder	UK	2010s	Model OC8 Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/synthrestore/fuzz ; https://www.effectsdatabase.com/model/synthrestore	One-product historical builder entry. UK hand-built OC8 using vintage-style components; preserve even though catalog is tiny.
Bautner	Historical brand / manufacturer	Brazil	1980s?	DB-1 Distortion; MB-1 Heavy Metal; ODB-1 Over-Drive	DISCOVERED	https://www.effectsdatabase.com/model/bautner ; https://www.effectsdatabase.com/model/bautner/overdrive	Effects Database records a 9-product historical Brazilian brand founded circa 1984? and links Brazilian Guitar Museum. Exact manufacturing relationships require later archival work.
Asama Engineering	Brand / OEM family	Japan	1970s-1980s	Over Drive	DISCOVERED	https://www.effectsdatabase.com/model/asama/overdrive	Effects Database ties Asama Engineering to Coron Musical Instrument Co. and a wider Coron/Seiwa/Storm/Bias overdrive family. Preserve Asama as a branded node while linking the OEM manufacturer separately.
Seiwa	Brand / OEM family	Japan	1970s-1980s	Over Drive	DISCOVERED	https://www.effectsdatabase.com/model/seiwa/overdrive	Japanese overdrive brand with Coron-built product in the documented family. Important for private-label/OEM census coverage.
Storm by Coron	Brand / OEM family	Japan	1970s-1980s	Over Drive	DISCOVERED	https://www.effectsdatabase.com/model/storm/coron/overdrive	Storm-branded overdrive documented as built by Coron Musical Instrument Co. Keep brand and manufacturer as separate entities.
FBT	Historical brand / manufacturer	Italy	1960s-1980s	A-608-B Distorsion; Fuzz FF III	DISCOVERED	https://www.effectsdatabase.com/model/fbt	Effects Database lists FBT alongside Cicognani and indexes dedicated distortion and fuzz products. Later lineage/ownership should be mapped separately.
A.Y.A	Builder	Japan	2000s-present	Bass Fuzz; BM-Fuzz 70; BM-Fuzz 80; Drivesta; Frontgate Bass Drive	DISCOVERED	https://www.effectsdatabase.com/model/aya	Located in Tokyo and run by Makoto Kawai. Effects Database indexes multiple gain/fuzz products.
Dazatronyx	Builder	Australia	2010s-present	Muff-Fuzz and other fuzz/gain products	DISCOVERED	https://www.effectsdatabase.com/model/dazatronyx	Melbourne handmade pedal builder. Effects Database currently indexes 11 products; fuzz is explicitly documented.
