builder	model	category	light_description	photo_source	status
Honda Sound Works	NDS-741	Distortion	NERDS 15th-anniversary distortion using an LM741 op-amp and a RAT-derived circuit with a three-stage gain switch.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NDS-072	Distortion	NERDS distortion using TL072 and a tuned Maestro MFZ-based concept for full-drive 1970s American-rock tones.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NDS-081	Distortion	NERDS distortion using TL081 and a tuned DeArmond square-wave concept with bright harmonic emphasis.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NDS-5223	Distortion	NERDS distortion using Mitsubishi M5223 and a tuned vintage Ross distortion concept.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NDS-3260	Distortion	NERDS distortion using CA3260 and a tuned 1980s Ibanez MT10 concept, with three-band EQ.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NOD-081	Overdrive	NERDS overdrive using TL081 and a tuned 1970s DOD FX50 concept; intended for natural crunch or boost use.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NOD-061	Overdrive	NERDS overdrive using TL061 and a tuned Hot Cake concept, with gain/presence/volume controls.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NOD-4558U	Overdrive	NERDS overdrive using UPC4558 and a tuned boutique TS9 concept with the buffer removed for touch response.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NOD-4558M	Overdrive	NERDS overdrive using MC4558 and a tuned Zen Drive concept with smooth drive response and Voice control.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NOD-1458	Overdrive	NERDS overdrive using MC1458 and a tuned 1970s Ibanez Dirt Box concept.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NOD-170	Overdrive	NERDS FET overdrive using three BS170 devices and a tuned Box of Rock concept for amp-like response.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NOD-4049	Overdrive	NERDS overdrive using CD4049UBE with a two-way gain switch and tube-amp-like response.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NOD-5089B	Overdrive	NERDS bass overdrive using transistor/FET gain stages with a two-way gain switch while preserving bass bottom end.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NOD-3904	Overdrive	NERDS simple transistor overdrive using a single 2N3904 for an uncolored drive response.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NOD-6458	Overdrive	NERDS overdrive using LA6458 with a 2SD77 germanium transistor buffer, tuned for vintage character and modern response.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NOD-2604	Overdrive	NERDS overdrive using OPA2604AP and a tuned Fulltone-based concept with a two-way gain switch.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NFZ-108	Fuzz	NERDS fuzz using two BC108 transistors and a tuned vintage Colorsound-style voicing.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NFZ-M3V	Fuzz	NERDS 3-volt fuzz using three AC128 transistors and a tuned Maestro FZ-1 concept.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NFZ-386	Fuzz	NERDS LM386-based fuzz with Volume, Gain and Texture controls and a broad fuzz range.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NFZ-LTM	Fuzz	NERDS fuzz using two 2N3642 transistors with a Little Muff-style character.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NFZ-109	Fuzz	NERDS octave fuzz tuned from a vintage Foxx Tone Machine concept, with Range switching.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NFZ-42TM	Fuzz	NERDS octave fuzz tuned from a vintage Octavia concept with Volume and Boost controls.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NFZ-FFF	Fuzz	NERDS fuzz using two BC109 transistors and a tuned Fuzz Face concept with Gain, Contour and Bias controls.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	NFZ-1000	Fuzz	NERDS fuzz using two 2SC1000 transistors and a tuned 1960s AstroTone concept.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	MAD-1815	Fuzz	NERDS updated Mad Fuzz variant using four 2SC1815 transistors with a gain switch.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	MAD-850	Fuzz/Drive	NERDS hybrid fuzz-drive combining the Mad Fuzz concept with a 1970s Ibanez OD850 reference.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	MAD-SOLA	Fuzz	NERDS hybrid fuzz combining Mad Fuzz with a vintage Jumbo Tone Bender concept using 2SC693 devices.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
Honda Sound Works	MAD-66	Fuzz	NERDS Mad Fuzz variant tuned from early hand-wired Big Muff references using 2SC693 transistors.	https://hondasoundworks.wixsite.com/honda/large-grid	INVENTORY
