name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Balkan Pedals	Builder	Bulgaria	2010s-present	Balkan Driver; Balkan Flame Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/balkan	Confirmed Bulgarian builder with both overdrive and fuzz products.
Ratin Pedals	Builder	Iran	2000s-2010s	Guitar effects builder with dirt-pedal work	DISCOVERED	https://www.effectsdatabase.com/interviews/brands/ratin	Iranian boutique builder documented by founder Ali Reza Roshan Nahad; exact historical dirt catalog needs enumeration.
Danneberg Electronics	Builder candidate	Austria	2000s-present	Pedal maker listed in Austrian Effects Database index	CENSUS_ONLY	https://www.effectsdatabase.com/country/austria	Dirt-specific product evidence pending.
Isle Of Tone	Builder candidate	Austria	2000s-present	Pedal maker listed in Austrian Effects Database index	CENSUS_ONLY	https://www.effectsdatabase.com/country/austria	Dirt-specific product evidence pending.
Kreuzer Electronics	Builder candidate	Austria	2000s-present	Pedal maker listed in Austrian Effects Database index	CENSUS_ONLY	https://www.effectsdatabase.com/country/austria	Dirt-specific product evidence pending.
Sentimental Animal Devices	Builder candidate	Austria	2000s-present	Pedal maker listed in Austrian Effects Database index	CENSUS_ONLY	https://www.effectsdatabase.com/country/austria	Dirt-specific product evidence pending.
Blue Velvet Electronics	Builder candidate	Belgium	2000s-present	Pedal maker listed in Belgian Effects Database index	CENSUS_ONLY	https://www.effectsdatabase.com/country/belgium	Dirt-specific product evidence pending.
Fächertron Electronics	Builder candidate	Belgium	2000s-present	Pedal maker listed in Belgian Effects Database index	CENSUS_ONLY	https://www.effectsdatabase.com/country/belgium	Dirt-specific product evidence pending.
International Phuzz Association	Builder candidate	Belgium	2000s-present	Pedal maker listed in Belgian Effects Database index	CENSUS_ONLY	https://www.effectsdatabase.com/country/belgium	Name strongly suggests fuzz relevance, but product verification is still required.
Sherman	Builder candidate	Belgium	2000s-present	Pedal maker listed in Belgian Effects Database index	CENSUS_ONLY	https://www.effectsdatabase.com/country/belgium	Dirt-specific product evidence pending.
FNB Pedals	Builder candidate	Ireland	2000s-present	Irish pedal maker listed in country index	CENSUS_ONLY	https://www.effectsdatabase.com/country/ireland	Needs product-level dirt confirmation.
Guerrilla Devices	Builder candidate	Ireland	2000s-present	Irish pedal maker listed in country index	CENSUS_ONLY	https://www.effectsdatabase.com/country/ireland	Needs product-level dirt confirmation.
Jimmy Behan FX	Builder candidate	Ireland	2000s-present	Irish pedal maker listed in country index	CENSUS_ONLY	https://www.effectsdatabase.com/country/ireland	Needs product-level dirt confirmation.
Moose Electronics	Builder candidate	Ireland	2000s-present	Irish pedal maker listed in country index	CENSUS_ONLY	https://www.effectsdatabase.com/country/ireland	Needs product-level dirt confirmation.
Amalgam Audio	Builder candidate	Latvia	2000s-present	Latvian effects maker listed in country index	CENSUS_ONLY	https://www.effectsdatabase.com/country/latvia	Needs dirt-specific product confirmation.
Gamechanger Audio	Builder	Latvia	2010s-present	Plasma Distortion and other gain/effects products	DISCOVERED	https://www.effectsdatabase.com/country/latvia	Major Latvian boutique manufacturer. Full builder catalog census required.
Z.Cat	Builder candidate	Latvia	2000s-present	Latvian effects maker listed in country index	CENSUS_ONLY	https://www.effectsdatabase.com/country/latvia	Needs dirt-specific product confirmation.
Normalu Electronics	Builder candidate	Lithuania	2000s-present	Lithuanian effects maker listed in country index	CENSUS_ONLY	https://www.effectsdatabase.com/country/lithuania	Needs dirt-specific product confirmation.
1978 Custom	Builder candidate	Thailand	2000s-present	Thai effects maker listed in country index	CENSUS_ONLY	https://www.effectsdatabase.com/country/thailand	Needs dirt-specific product confirmation.
Apezila	Builder candidate	Thailand	2000s-present	Thai effects maker listed in country index	CENSUS_ONLY	https://www.effectsdatabase.com/country/thailand	Needs dirt-specific product confirmation.
BreakFuzz	Builder candidate	Thailand	2000s-present	Thai effects maker listed in country index	CENSUS_ONLY	https://www.effectsdatabase.com/country/thailand	Fuzz-specific name but product evidence still required.
Chaser	Builder candidate	Thailand	2000s-present	Thai effects maker listed in country index	CENSUS_ONLY	https://www.effectsdatabase.com/country/thailand	Needs dirt-specific product confirmation.
